StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q4,Q6,Q7,Q8,Q9,Q9_14_TEXT,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16,Q17,Q18,Q20_1,Q21,Q22,Q23,Q24,Q25_1,Q26,Q27,Q28,Q29,Q24 - Parent Topics,Q24 - Topics,Q9_14_TEXT - Parent Topics,Q9_14_TEXT - Topics,Q_UnansweredPercentage,Q_UnansweredQuestions,Q24 - Topic Hierarchy Level 1,Q9_14_TEXT - Topic Hierarchy Level 1
2025-03-28 04:15:00,2025-03-28 04:18:50,IP Address,146.50.40.184,100,230,True,2025-03-28 04:18:51,R_8jYU4DviEjkemGX,,,,,52.364,4.866,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Suburban,Student,,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,3,6,5,1,Somewhat,"News websites,Educational platforms",No,6,I don't remember,Yes,"Yes, definitely",,6,"Educational information,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Local impact,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 04:38:42,2025-03-28 04:42:01,IP Address,77.250.131.7,100,199,True,2025-03-28 04:42:02,R_8fqiuX1s3sOdy2P,,,,,52.3528,4.8584,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Tourism and Hospitality,,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,It can disrupt aquatic ecosystems and harm marine life.,3,6,2,5,4,1,Somewhat,Social media,Yes,5,No,Yes,"Yes, definitely",,4,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent)",Maybe,No,"Concern for future generations,Health and Safety",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 04:50:55,2025-03-28 04:55:09,IP Address,217.119.67.224,100,254,True,2025-03-28 04:55:10,R_83eir2dB2fjKQEN,,,,,50.0578,21.9815,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Poland,Master’s degree or higher,Urban,Student,,Neutral,Not very serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,4,2,5,6,1,Somewhat,"Social media,TV/radio,Word of mouth",Yes,7,No,Yes,"Yes, definitely",Unsure,7,"Educational information,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 04:52:33,2025-03-28 04:58:50,IP Address,31.60.103.67,100,377,True,2025-03-28 04:58:50,R_7pffHV7ND9muY5e,,,,,51.0864,16.9896,anonymous,EN,1,,Yes,18 - 24,Poland,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Not very serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,1,4,6,2,5,Somewhat,"Social media,TV/radio,Word of mouth",No,9,Yes,Yes,"Yes, definitely","Testing methods , solutions for water pollution, filtering techniques",6,"Interactive maps,Educational information,Forums for public discussion,Personalized content (AI-agent),Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby,Community involvement",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 05:43:48,2025-03-28 05:48:25,IP Address,47.63.254.231,100,276,True,2025-03-28 05:48:25,R_1OTYSmhCkPtQrhf,,,,,40.4097,-3.7157,anonymous,EN,1,,Yes,18 - 24,Spain,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,3,6,5,2,Not at all,"Social media,Word of mouth,I don’t usually seek out this information",No,9,No,Yes,"Yes, definitely",,9,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Global Climate Change,Personal interest/hobby",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 05:42:20,2025-03-28 05:50:41,IP Address,85.2.74.206,100,500,True,2025-03-28 05:50:41,R_8YKrS60HCaVB5JC,,,,,47.5421,7.5962,anonymous,EN,0.8999999761581421,,Yes,55 - 64,Switzerland,Master’s degree or higher,Suburban,Healthcare,,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,2,4,1,6,3,5,Somewhat,"News websites,TV/radio",No,8,No,Maybe,Maybe,"How to improve ",2,"Educational information,Visualizations of up-to-date water quality data of your city",No,No,Health and Safety,,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 05:51:26,2025-03-28 05:57:35,IP Address,217.103.23.3,100,368,True,2025-03-28 05:57:35,R_2mn1GhinfalsaWM,,,,,52.3191,4.976,anonymous,EN,0.800000011920929,,Yes,25 - 34,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",2,4,5,6,1,3,Very little,Social media,No,3,No,Maybe,Maybe,What happens to the water that is used in the medical and toxic-industrial facilities?,3,"Educational information,Tools to report or monitor water issues locally",No,No,Personal interest/hobby,,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 05:58:39,2025-03-28 06:13:29,IP Address,145.136.159.38,100,889,True,2025-03-28 06:13:29,R_84wqlugeixwITb4,,,,,52.2986,4.9728,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",5,2,4,3,1,6,Very little,"Social media,News websites",No,6,Yes,Yes,"Yes, definitely",,6,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,"Concern for future generations,Health and Safety",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 06:19:14,2025-03-28 06:28:05,IP Address,77.172.36.2,100,531,True,2025-03-28 06:28:06,R_8bN7VBih2RfJR7z,,,,,52.352,4.8384,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Tourism and Hospitality,,Somewhat knowledgeable,Not very serious,"Yes, I am slightly aware.",2.2 billion,It can lead to waterborne disease such as cholera and dysentery.,1,5,2,4,6,3,Somewhat,"Social media,News websites,Educational platforms",No,5,No,Yes,"Yes, definitely",Programs and websites that offer to know more and create volunteer programs to help reduce water pollution in the city,9,"Educational information,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Personal interest/hobby",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 06:38:24,2025-03-28 06:41:49,IP Address,178.195.233.34,100,205,True,2025-03-28 06:41:49,R_529ooKrJPbOGlHz,,,,,46.2413,6.207,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Switzerland,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",1,5,4,6,3,2,Somewhat,"Social media,News websites,Educational platforms",No,3,No,Maybe,Maybe,,5,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 06:39:21,2025-03-28 06:42:57,IP Address,118.140.62.198,100,215,True,2025-03-28 06:42:58,R_41nOBNwifST1zLX,,,,,22.2578,114.1657,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Turkey,Bachelor’s degree,Rural,Student,,Not very knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,5,6,4,3,Very little,"Social media,News websites",No,4,No,Maybe,"Yes, definitely",,7,"Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Local impact,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 06:41:08,2025-03-28 06:45:05,IP Address,82.77.154.140,100,236,True,2025-03-28 06:45:05,R_8rCkrc6e8aICb4t,,,,,46.7656,23.5945,anonymous,EN,1,,Yes,18 - 24,Romania,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,1,5,4,6,3,2,Somewhat,"Social media,News websites,Educational platforms",Yes,10,Yes,Yes,"Yes, definitely",,9,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 06:42:03,2025-03-28 06:46:52,IP Address,143.178.78.191,100,288,True,2025-03-28 06:46:53,R_2JDvFCTnbjYH8Rr,,,,,52.36,4.8084,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Suburban,Student,,Not very knowledgeable,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,5,6,2,4,1,Very little,Social media,Yes,5,Yes,Maybe,Maybe,,4,"Interactive maps,Educational information,Personalized content (AI-agent),Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 06:35:41,2025-03-28 06:48:11,IP Address,146.50.229.177,100,749,True,2025-03-28 06:48:12,R_2909Gjo9dzJosGj,,,,,52.67,4.7103,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,6,5,1,4,2,Somewhat,Word of mouth,No,3,No,Yes,"Yes, definitely",the dangers to my health,8,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",No,Maybe,Health and Safety,,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 06:43:19,2025-03-28 06:49:06,IP Address,185.69.145.190,100,346,True,2025-03-28 06:49:06,R_2TLeglEzZP8lfn8,,,,,51.4964,-0.1224,anonymous,EN,0.8999999761581421,,Yes,18 - 24,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Urban,Student,,Neutral,Neutral/ Unsure,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4,5,3,2,1,6,Somewhat,"Social media,Educational platforms",No,7,No,Yes,"Yes, definitely",How to best preserve water quality; how to contribute to its preservation,7,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Global Climate Change,Community involvement",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 06:49:38,2025-03-28 06:54:20,IP Address,24.132.44.232,100,282,True,2025-03-28 06:54:21,R_85F1lSxP7DzFFoF,,,,,52.3882,4.8844,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,It can disrupt aquatic ecosystems and harm marine life.,1,3,4,5,6,2,Very little,"Social media,News websites,Word of mouth,Educational platforms",No,3,Yes,No,"Yes, definitely",How to improve tap drinking water quality,2,"Interactive maps,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Maybe,No,Health and Safety,,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 06:47:18,2025-03-28 06:54:38,IP Address,146.50.233.240,100,439,True,2025-03-28 06:54:39,R_2gBDTtclf3BhM7d,,,,,52.3712,4.9044,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Not serious at all,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,I am unsure.",4,2,1,5,6,3,Very little,"Social media,News websites",No,2,No,No,Maybe,,3,"Interactive maps,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Global Climate Change,Personal interest/hobby,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 06:41:17,2025-03-28 06:55:00,IP Address,37.62.107.131,100,823,True,2025-03-28 06:55:00,R_2QWJRUomwCe3sgO,,,,,50.8511,4.3132,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Belgium,Master’s degree or higher,Rural,Student,,Somewhat knowledgeable,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,3,6,4,1,Somewhat,"News websites,Educational platforms",No,5,No,Yes,"Yes, definitely",,6,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,Local impact,,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 07:06:20,2025-03-28 07:09:27,IP Address,148.69.197.201,100,186,True,2025-03-28 07:09:27,R_24BPE99gTnnR0ea,,,,,38.7219,-9.1398,anonymous,EN,1,,Yes,18 - 24,France,Primary education,Urban,Student,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,5,2,6,3,Somewhat,"Social media,News websites",No,4,No,Maybe,Maybe,,3,"Interactive maps,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 06:56:04,2025-03-28 07:13:09,IP Address,31.61.244.87,100,1024,True,2025-03-28 07:13:10,R_3sACR02jYinJS8M,,,,,52.2309,20.9727,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Poland,Bachelor’s degree,Urban,"Other, please specify...",Civil aviation pilot,Somewhat knowledgeable,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,5,4,6,2,3,Somewhat,"Social media,News websites,TV/radio,Educational platforms",No,7,No,Yes,"Yes, definitely",,7,"Interactive maps,Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Maybe,No,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,,,Unknown,0.07692307692307693,"QID1,QID24",,
2025-03-28 07:08:30,2025-03-28 07:14:53,IP Address,187.207.77.122,100,382,True,2025-03-28 07:14:53,R_6ihL7svGC1SrfTr,,,,,19.3002,-99.1997,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Mexico,Bachelor’s degree,Urban,Tourism and Hospitality,,Not very knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It has no significant impact on human health or the environment.",6,2,3,5,4,1,Somewhat,Social media,No,7,No,Yes,"Yes, definitely",,9,Educational information,Yes,Yes,Health and Safety,,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 07:25:06,2025-03-28 07:27:09,IP Address,86.84.77.91,100,123,True,2025-03-28 07:27:10,R_22SyvXORg1Mlsyd,,,,,52.36,4.8084,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,It can lead to waterborne disease such as cholera and dysentery.,1,6,2,4,3,5,Somewhat,"Social media,News websites",No,3,No,Maybe,Maybe,,4,"Educational information,Forums for public discussion,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 07:29:15,2025-03-28 07:33:36,IP Address,47.60.35.125,100,261,True,2025-03-28 07:33:37,R_7dfMSrA9ARovtuV,,,,,40.4171,-3.6836,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Spain,Bachelor’s degree,Urban,Finance and Commerce,,Not very knowledgeable,Not serious at all,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,3,4,6,1,Very little,"Social media,News websites",No,7,No,Yes,"Yes, definitely",,8,"Educational information,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 07:29:51,2025-03-28 07:34:06,IP Address,134.82.185.108,100,255,True,2025-03-28 07:34:07,R_7gb7RyrkoRdETWt,,,,,40.9645,-76.8844,anonymous,EN,0.8999999761581421,,Yes,18 - 24,United States of America,Bachelor’s degree,Rural,Student,,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",1.5 billion,I am unsure.,5,4,3,2,6,1,Very little,"Word of mouth,Educational platforms",No,4,No,Maybe,Maybe,,4,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,"Concern for future generations,Health and Safety",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 07:26:14,2025-03-28 07:34:15,IP Address,77.250.145.119,100,481,True,2025-03-28 07:34:16,R_2Kx2mUbEvZUU2M2,,,,,52.364,4.866,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4,6,1,2,5,3,Very little,"Social media,News websites,Word of mouth",No,6,No,Maybe,Maybe,How does it affect me and my surroundings?,4,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety,Global Climate Change,Community involvement",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 07:20:51,2025-03-28 07:37:34,IP Address,172.59.212.117,100,1003,True,2025-03-28 07:37:35,R_3nN3M4xvZ9FjPVT,,,,,40.7242,-74.1977,anonymous,EN,0.8999999761581421,,Yes,35 - 44,United States of America,Bachelor’s degree,Suburban,Finance and Commerce,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,5,6,2,4,Very little,"Social media,News websites",Yes,10,No,Yes,"Yes, definitely",,10,"Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,No,"Concern for future generations,Health and Safety,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 07:38:24,2025-03-28 07:42:33,IP Address,140.82.220.240,100,249,True,2025-03-28 07:42:33,R_6u5fQdhgE3mRbkR,,,,,30.2887,-97.7398,anonymous,EN,0.699999988079071,,Yes,18 - 24,Mexico,Bachelor’s degree,Urban,Finance and Commerce,,Neutral,"Yes, very serious","Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,2,5,6,3,Somewhat,Social media,No,4,No,Yes,"Yes, definitely",,2,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent),Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety,Local impact,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 07:43:09,2025-03-28 07:49:42,IP Address,37.62.117.183,100,393,True,2025-03-28 07:49:43,R_1zAzsADh6qLCVsA,,,,,50.8344,4.368,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Belgium,Bachelor’s degree,Urban,Student,,Neutral,Neutral/ Unsure,"Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,4,6,5,3,Somewhat,"News websites,Word of mouth,Educational platforms",No,3,Yes,Maybe,Maybe,,6,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,No,"Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 07:54:07,2025-03-28 07:58:12,IP Address,89.26.167.230,100,245,True,2025-03-28 07:58:12,R_8Hk8q3nI96JxGzN,,,,,40.4153,-3.694,anonymous,EN,0.800000011920929,,Yes,18 - 24,United States of America,Bachelor’s degree,Urban,Finance and Commerce,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,3,4,6,1,Very little,"Social media,News websites,Word of mouth",No,5,Yes,Maybe,Maybe,,5,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 08:04:27,2025-03-28 08:11:00,IP Address,2.203.250.101,100,392,True,2025-03-28 08:11:01,R_3QgDMvs8Owh9BJY,,,,,52.4425,13.5464,anonymous,EN,0.8999999761581421,,Yes,18 - 24,France,Secondary education,Suburban,Tourism and Hospitality,,Very knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,6,2,3,5,4,Very little,"Social media,Word of mouth",No,8,I don't remember,Maybe,"Yes, definitely",Pollution,2,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Maybe,Maybe,Global Climate Change,,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 08:07:12,2025-03-28 08:11:29,IP Address,62.99.156.130,100,256,True,2025-03-28 08:11:29,R_5mgyVTarN9twu1q,,,,,48.2049,16.3662,anonymous,EN,1,,Yes,18 - 24,Austria,Bachelor’s degree,Urban,Student,,Not knowledgeable at all,Not serious at all,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4,5,3,1,6,2,Very little,"Social media,Word of mouth",No,3,Yes,No,"Yes, definitely",,5,"Interactive maps,Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 08:12:17,2025-03-28 08:23:05,IP Address,62.99.156.130,100,648,True,2025-03-28 08:23:06,R_8xA90hQ93Yas6B3,,,,,48.2049,16.3662,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Austria,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,4,6,5,1,Somewhat,"Social media,News websites,Educational platforms",No,10,Yes,Yes,"Yes, definitely","Is there anything on a personal note, that can help change the water pollution? ",8,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-03-28 09:07:44,2025-03-28 09:14:50,IP Address,187.200.197.99,100,425,True,2025-03-28 09:14:51,R_1qsLUm9NAA2L7Ut,,,,,19.289,-99.5184,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Mexico,Master’s degree or higher,Rural,Healthcare,,Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,3,5,6,1,Somewhat,"Social media,News websites,Word of mouth",No,8,Yes,Yes,"Yes, definitely",,8,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,No,"Concern for future generations,Health and Safety",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-28 09:32:07,2025-03-28 10:12:10,IP Address,217.103.169.207,100,2402,True,2025-03-28 10:12:11,R_8bOfhHcHiQIoCB8,,,,,52.3591,4.793,anonymous,EN,0.699999988079071,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,4,5,1,6,2,Somewhat,"Social media,Word of mouth",No,7,No,Yes,"Yes, definitely",,2,"Educational information,Visualizations of up-to-date water quality data of your city,Personalized content (AI-agent)",Yes,Yes,"Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
