Finished,Q_RecaptchaScore,Participate,Age,Country of Residence,Level of Education,Living Area,Occupation,General Awareness,Seriousness of City Water Quality,Awareness of city Management,Ppl with no Drinking Water 2023,Causes of Poor Water Quality,Agriculture,Global Warming,Industrial Waste,Marine Dumping of Garbage,Oil Leaks and Spills,Sewage and Wastewater,Attention given to Water on the News,Source of Awareness,Know of Urban Aquatic Ecosystem,Interest in Water Quality Management,Participated in Water Conservation Actitivites,Interest in Learning More,Interest in Learning more about City,What would you want to learn about,Likelihood in using digital platform,Features of Platform,Interested in Contributing to Platform,Interest in joining Community,Motivations to engage with environmental causes,Unanswered Percentage
True,0.800000011920929,Yes,25 - 34,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",2.0,4.0,5.0,6.0,1.0,3.0,Very little,Social media,No,3.0,No,Maybe,Maybe,What happens to the water that is used in the medical and toxic-industrial facilities?,3.0,"Educational information,Tools to report or monitor water issues locally",No,No,Personal interest/hobby,0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",5.0,2.0,4.0,3.0,1.0,6.0,Very little,"Social media,News websites",No,6.0,Yes,Yes,"Yes, definitely",,6.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,"Concern for future generations,Health and Safety",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Tourism and Hospitality,Somewhat knowledgeable,Not very serious,"Yes, I am slightly aware.",2.2 billion,It can lead to waterborne disease such as cholera and dysentery.,1.0,5.0,2.0,4.0,6.0,3.0,Somewhat,"Social media,News websites,Educational platforms",No,5.0,No,Yes,"Yes, definitely",Programs and websites that offer to know more and create volunteer programs to help reduce water pollution in the city,9.0,"Educational information,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Personal interest/hobby",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Switzerland,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",1.0,5.0,4.0,6.0,3.0,2.0,Somewhat,"Social media,News websites,Educational platforms",No,3.0,No,Maybe,Maybe,,5.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Turkey,Bachelor’s degree,Rural,Student,Not very knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,5.0,6.0,4.0,3.0,Very little,"Social media,News websites",No,4.0,No,Maybe,"Yes, definitely",,7.0,"Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Local impact,Community involvement",0.0769230769230769
True,1.0,Yes,18 - 24,Romania,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,1.0,5.0,4.0,6.0,3.0,2.0,Somewhat,"Social media,News websites,Educational platforms",Yes,10.0,Yes,Yes,"Yes, definitely",,9.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Suburban,Student,Not very knowledgeable,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,5.0,6.0,2.0,4.0,1.0,Very little,Social media,Yes,5.0,Yes,Maybe,Maybe,,4.0,"Interactive maps,Educational information,Personalized content (AI-agent),Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,6.0,5.0,1.0,4.0,2.0,Somewhat,Word of mouth,No,3.0,No,Yes,"Yes, definitely",the dangers to my health,8.0,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",No,Maybe,Health and Safety,0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Urban,Student,Neutral,Neutral/ Unsure,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,5.0,3.0,2.0,1.0,6.0,Somewhat,"Social media,Educational platforms",No,7.0,No,Yes,"Yes, definitely",How to best preserve water quality; how to contribute to its preservation,7.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Global Climate Change,Community involvement",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,It can disrupt aquatic ecosystems and harm marine life.,1.0,3.0,4.0,5.0,6.0,2.0,Very little,"Social media,News websites,Word of mouth,Educational platforms",No,3.0,Yes,No,"Yes, definitely",How to improve tap drinking water quality,2.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Maybe,No,Health and Safety,0.0384615384615384
True,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Not serious at all,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,I am unsure.",4.0,2.0,1.0,5.0,6.0,3.0,Very little,"Social media,News websites",No,2.0,No,No,Maybe,,3.0,"Interactive maps,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Global Climate Change,Personal interest/hobby,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Belgium,Master’s degree or higher,Rural,Student,Somewhat knowledgeable,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,3.0,6.0,4.0,1.0,Somewhat,"News websites,Educational platforms",No,5.0,No,Yes,"Yes, definitely",,6.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,Local impact,0.0769230769230769
True,1.0,Yes,18 - 24,France,Primary education,Urban,Student,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,5.0,2.0,6.0,3.0,Somewhat,"Social media,News websites",No,4.0,No,Maybe,Maybe,,3.0,"Interactive maps,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Poland,Bachelor’s degree,Urban,Civil aviation pilot,Somewhat knowledgeable,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,5.0,4.0,6.0,2.0,3.0,Somewhat,"Social media,News websites,TV/radio,Educational platforms",No,7.0,No,Yes,"Yes, definitely",,7.0,"Interactive maps,Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Maybe,No,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,45 - 54,Mexico,Bachelor’s degree,Urban,Tourism and Hospitality,Not very knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It has no significant impact on human health or the environment.",6.0,2.0,3.0,5.0,4.0,1.0,Somewhat,Social media,No,7.0,No,Yes,"Yes, definitely",,9.0,Educational information,Yes,Yes,Health and Safety,0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,It can lead to waterborne disease such as cholera and dysentery.,1.0,6.0,2.0,4.0,3.0,5.0,Somewhat,"Social media,News websites",No,3.0,No,Maybe,Maybe,,4.0,"Educational information,Forums for public discussion,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Spain,Bachelor’s degree,Urban,Finance and Commerce,Not very knowledgeable,Not serious at all,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,3.0,4.0,6.0,1.0,Very little,"Social media,News websites",No,7.0,No,Yes,"Yes, definitely",,8.0,"Educational information,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,United States of America,Bachelor’s degree,Rural,Student,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",1.5 billion,I am unsure.,5.0,4.0,3.0,2.0,6.0,1.0,Very little,"Word of mouth,Educational platforms",No,4.0,No,Maybe,Maybe,,4.0,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,"Concern for future generations,Health and Safety",0.0769230769230769
True,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,6.0,1.0,2.0,5.0,3.0,Very little,"Social media,News websites,Word of mouth",No,6.0,No,Maybe,Maybe,How does it affect me and my surroundings?,4.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety,Global Climate Change,Community involvement",0.0384615384615384
True,0.8999999761581421,Yes,35 - 44,United States of America,Bachelor’s degree,Suburban,Finance and Commerce,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,3.0,5.0,6.0,2.0,4.0,Very little,"Social media,News websites",Yes,10.0,No,Yes,"Yes, definitely",,10.0,"Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,No,"Concern for future generations,Health and Safety,Community involvement",0.0769230769230769
True,0.699999988079071,Yes,18 - 24,Mexico,Bachelor’s degree,Urban,Finance and Commerce,Neutral,"Yes, very serious","Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,2.0,5.0,6.0,3.0,Somewhat,Social media,No,4.0,No,Yes,"Yes, definitely",,2.0,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent),Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety,Local impact,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Belgium,Bachelor’s degree,Urban,Student,Neutral,Neutral/ Unsure,"Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,4.0,6.0,5.0,3.0,Somewhat,"News websites,Word of mouth,Educational platforms",No,3.0,Yes,Maybe,Maybe,,6.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,No,"Health and Safety,Global Climate Change",0.0769230769230769
True,0.800000011920929,Yes,18 - 24,United States of America,Bachelor’s degree,Urban,Finance and Commerce,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,3.0,4.0,6.0,1.0,Very little,"Social media,News websites,Word of mouth",No,5.0,Yes,Maybe,Maybe,,5.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,France,Secondary education,Suburban,Tourism and Hospitality,Very knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,6.0,2.0,3.0,5.0,4.0,Very little,"Social media,Word of mouth",No,8.0,I don't remember,Maybe,"Yes, definitely",Pollution,2.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Maybe,Maybe,Global Climate Change,0.0384615384615384
True,1.0,Yes,18 - 24,Austria,Bachelor’s degree,Urban,Student,Not knowledgeable at all,Not serious at all,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,5.0,3.0,1.0,6.0,2.0,Very little,"Social media,Word of mouth",No,3.0,Yes,No,"Yes, definitely",,5.0,"Interactive maps,Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Austria,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,4.0,6.0,5.0,1.0,Somewhat,"Social media,News websites,Educational platforms",No,10.0,Yes,Yes,"Yes, definitely","Is there anything on a personal note, that can help change the water pollution? ",8.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,45 - 54,Mexico,Master’s degree or higher,Rural,Healthcare,Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,4.0,3.0,5.0,6.0,1.0,Somewhat,"Social media,News websites,Word of mouth",No,8.0,Yes,Yes,"Yes, definitely",,8.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,No,"Concern for future generations,Health and Safety",0.0769230769230769
True,0.699999988079071,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,4.0,5.0,1.0,6.0,2.0,Somewhat,"Social media,Word of mouth",No,7.0,No,Yes,"Yes, definitely",,2.0,"Educational information,Visualizations of up-to-date water quality data of your city,Personalized content (AI-agent)",Yes,Yes,"Health and Safety,Global Climate Change",0.0769230769230769
True,1.0,Yes,45 - 54,France,Bachelor’s degree,Suburban,Healthcare,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,6.0,2.0,4.0,3.0,5.0,Somewhat,"Social media,News websites",Yes,9.0,Yes,Maybe,Maybe,,9.0,"Educational information,Forums for public discussion,Personalized content (AI-agent)",Maybe,Maybe,"Concern for future generations,Health and Safety,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,Healthcare,Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,5.0,2.0,4.0,6.0,1.0,Somewhat,Social media,No,7.0,Yes,Maybe,"Yes, definitely",,6.0,"Educational information,Forums for public discussion,Tools to report or monitor water issues locally",Maybe,Maybe,Concern for future generations,0.0769230769230769
True,0.800000011920929,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,4.0,3.0,5.0,6.0,1.0,Somewhat,"Social media,Word of mouth,I don’t usually seek out this information",No,6.0,No,Maybe,"Yes, definitely",I guess what I can do to help water quality? Because all I see is how the government is taking steps to ensure quality or how the quality has worsend I want to know how I can help :),7.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Health and Safety,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,55 - 64,United States of America,Secondary education,Urban,"Housing, real estate sales",Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,1.0,4.0,6.0,5.0,A lot,"Social media,News websites,TV/radio,Word of mouth",Yes,10.0,Yes,Yes,"Yes, definitely","Conservation, ways to volunteer, how to spread information, community outreach",7.0,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Local impact,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,Education,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,1.0,2.0,3.0,4.0,6.0,5.0,Somewhat,"News websites,Educational platforms",No,8.0,No,Maybe,"Yes, definitely",Home filters ,9.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety",0.0384615384615384
True,0.8999999761581421,Yes,45 - 54,Mexico,Master’s degree or higher,Suburban,Student,Neutral,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,It can lead to waterborne disease such as cholera and dysentery.,2.0,1.0,3.0,5.0,6.0,4.0,Somewhat,I don’t usually seek out this information,Yes,7.0,No,Maybe,Maybe,,,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,Maybe,"Concern for future generations,Health and Safety",0.1153846153846153
True,0.8999999761581421,Yes,65+,Mexico,Master’s degree or higher,Urban,Human Resourrces,Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",4.4 billion,It can disrupt aquatic ecosystems and harm marine life.,1.0,2.0,3.0,6.0,4.0,5.0,Somewhat,"Social media,News websites",No,8.0,No,Maybe,Maybe,,6.0,"Educational information,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Health and Safety,Community involvement",0.0769230769230769
True,1.0,Yes,55 - 64,Mexico,Bachelor’s degree,Urban,Home,Very knowledgeable,"Yes, very serious","No, I am aware of nothing related to water in my city.",4.4 billion,It can lead to waterborne disease such as cholera and dysentery.,2.0,3.0,4.0,5.0,6.0,1.0,Very little,Social media,No,4.0,No,Maybe,Maybe,How to recycle ,2.0,Educational information,No,No,"Concern for future generations,Health and Safety",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Neutral,Not very serious,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,2.0,3.0,5.0,6.0,1.0,Very little,"Social media,News websites",No,3.0,No,No,"No, not interested",,4.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Maybe,No,"Health and Safety,Local impact",0.0769230769230769
True,1.0,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,Education,Not very knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,5.0,3.0,6.0,2.0,Somewhat,Social media,No,8.0,No,Yes,"Yes, definitely",,8.0,"Educational information,Forums for public discussion,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Global Climate Change,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,55 - 64,Mexico,Bachelor’s degree,Urban,Industry,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,It can lead to waterborne disease such as cholera and dysentery.,2.0,3.0,1.0,5.0,6.0,4.0,Somewhat,"News websites,TV/radio",No,8.0,No,Yes,"Yes, definitely",How water is treated and how sources are protected,9.0,"Forums for public discussion,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",Maybe,Yes,"Concern for future generations,Health and Safety,Local impact",0.0384615384615384
True,1.0,Yes,55 - 64,Colombia,Bachelor’s degree,Urban,Industry,Neutral,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,3.0,2.0,4.0,6.0,5.0,A lot,"Social media,News websites,TV/radio,Word of mouth",No,10.0,No,Yes,"Yes, definitely",Conservación fuentes hidricas ,8.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Local impact",0.0384615384615384
True,0.699999988079071,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,Housewife,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,2.0,3.0,5.0,6.0,1.0,Somewhat,"Social media,News websites,TV/radio,Educational platforms",No,10.0,No,Yes,"Yes, definitely",,8.0,"Interactive maps,Educational information,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Health and Safety",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,6.0,3.0,4.0,5.0,2.0,Very little,"Social media,News websites",No,8.0,No,Yes,"Yes, definitely",,9.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Personalized content (AI-agent)",No,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,45 - 54,United States of America,Bachelor’s degree,Urban,Education,Neutral,Somewhat serious,"Yes, I am slightly aware.",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,2.0,3.0,5.0,1.0,6.0,4.0,Somewhat,News websites,No,7.0,No,No,"No, not interested",,,,,,,0.2692307692307692
True,0.8999999761581421,Yes,18 - 24,Italy,Bachelor’s degree,Urban,Fashion,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,3.0,4.0,6.0,1.0,Very little,Social media,No,5.0,No,Maybe,Maybe,,6.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent)",No,Maybe,"Health and Safety,Local impact,Global Climate Change",0.0769230769230769
True,0.699999988079071,Yes,45 - 54,Brazil,Master’s degree or higher,Urban,Lawyer,Not very knowledgeable,"Yes, very serious","Yes, I am slightly aware.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",5.0,3.0,6.0,1.0,2.0,4.0,A lot,"Social media,News websites,TV/radio",Yes,6.0,No,Yes,"Yes, definitely",,6.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,5.0,3.0,4.0,6.0,2.0,Very little,Social media,Yes,7.0,No,Yes,"Yes, definitely",,6.0,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Yes,Maybe,"Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,35 - 44,France,Master’s degree or higher,Suburban,Lawyer in an international organization.,Somewhat knowledgeable,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,3.0,6.0,5.0,2.0,Very little,"Social media,News websites",No,8.0,No,Yes,"Yes, definitely",Best way to filter the water we drink and also how important is the water we use also in the bathroom. How can we improve the use and waste of water .,5.0,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Health and Safety",0.0384615384615384
